SLD,SST,SSS,Density,D23,MLD,OHC,WS,WSC,HF,SV
48.19779839,27.1575155,32.407543,1023.096589,87.45462391,56.74262046,10.56,-0.01597839,-2.92E-07,-5.188537171,1536.377133
44.00663039,27.33371178,32.62775,1023.329773,83.51900519,31.97607051,10.32,-0.007600768,-2.34E-07,28.13752429,1535.266903
24.04022162,28.37227923,32.770687,1023.23506,84.07881557,22.35083488,10.56,-0.00272766,-1.96E-07,66.12184681,1536.917054
13.69440146,29.50197579,32.84225,1023.072807,86.95129833,16.2986947,10.84,0.003317714,-3.30E-07,85.62766125,1538.632968
16.38693376,29.76814068,32.931656,1022.86334,87.36655558,21.01372088,11,0.015484356,-6.10E-07,86.31972526,1539.531235
28.18819667,29.50156495,32.99976,1022.840567,88.77759382,29.24726388,11.05,0.036684099,-5.94E-07,72.68720033,1539.661661
35.02162198,29.11563048,32.95329,1022.963425,86.98078383,43.0256598,10.87,0.047651199,-1.83E-07,63.71675681,1538.751527
40.05030855,28.82635909,32.74245,1022.911394,86.36252777,37.53444781,10.89,0.046050174,3.70E-07,75.41707465,1538.50985
34.51166186,28.82432563,32.368904,1022.954389,87.61995351,32.60587261,10.8,0.026369516,7.91E-07,77.51536936,1538.042221
33.57033283,28.87505144,32.158592,1022.921267,86.52229307,28.91835477,10.79,0.00167804,7.59E-07,66.59536436,1538.127749
32.54175083,28.56656527,32.069717,1022.846393,88.77207714,34.49013111,10.85,-0.015871521,4.09E-07,19.976656,1538.297235
42.99246251,27.77021978,32.21324,1022.865889,88.36595477,47.6781763,10.91,-0.021008152,2.37E-08,-9.424072843,1538.190318
47.71408856,27.17450158,32.411713,1022.933026,93.07975404,51.79250713,10.83,-0.017152986,-2.25E-07,12.84683768,1537.724398
43.53461157,27.64074006,32.632767,1023.002804,90.11115364,47.7076327,10.79,-0.008176478,-2.81E-07,41.69314509,1537.852851
35.94756597,28.36686703,32.7715,1023.056804,88.57308956,29.15588484,10.8,-0.001476576,-2.11E-07,75.47892177,1538.177604
